scenario_ids,gt_critical_continuous_individual,gt_critical_continuous_interaction,gt_critical_continuous_safeshift
6321c16c02d51314.pkl,19.796,30.308,25.052
85a27b6e11b0189c.pkl,8.295,10.668,9.481
4590a38478cdb81c.pkl,9.017,56.999,33.008
bb9b5f82638d12e4.pkl,3.355,10.031,6.693
a88902039918198b.pkl,4.517,8.69,6.604
cb257d273a54e984.pkl,9.91,44.679,27.294
4abc7b3f44620b9c.pkl,2.551,2.66,2.606
61067d0929280bd3.pkl,15.992,85.072,50.532
f45cb294aa86d105.pkl,7.455,28.243,17.849
88eb10eb723b97d7.pkl,6.632,8.444,7.538
d4d507f467f77cda.pkl,13.607,62.03,37.819
2db81a2a807fb706.pkl,2.749,4.382,3.565
73503d2617f2e795.pkl,12.907,40.829,26.868
5348898d7d921d0c.pkl,9.417,76.473,42.945
9bb82cfe5bef448c.pkl,7.071,17.406,12.238
283402076a249768.pkl,5.588,13.469,9.528
127d7dedc7af3ec3.pkl,12.993,179.687,96.34
b8cfdf2b330fa5c1.pkl,22.519,19.219,20.869
29f372f554eb755e.pkl,2.66,4.736,3.698
74cb5d3a86378e22.pkl,7.569,35.794,21.681
28f92c012f216454.pkl,2.865,11.934,7.4
c9438f742369a05d.pkl,7.094,7.503,7.298
be955b8fe4078880.pkl,10.077,27.8,18.938
16d46e240c6e6613.pkl,9.944,7.387,8.665
c727f51287b3cd81.pkl,18.965,49.929,34.447
52b809a117c53c82.pkl,9.763,31.961,20.862
627a37b70d0bbf1d.pkl,5.309,10.81,8.059
e32d1f93237bc459.pkl,5.106,45.477,25.291
17492dc3e7f0a3df.pkl,13.706,101.218,57.462
50516b20b20754b1.pkl,2.409,10.664,6.536
78fcdae58fa6f109.pkl,6.616,30.607,18.611
75cedef4b1eb1f55.pkl,12.169,59.672,35.92
ffeb86a32d41a06e.pkl,13.047,34.947,23.997
e76fa3290824022.pkl,6.759,2.688,4.724
b82178bb0059e30c.pkl,9.918,34.924,22.421
8e1ea72739a04244.pkl,5.561,5.648,5.605
c0328af2fe5e5a8e.pkl,17.785,17.679,17.732
2be97592d625a254.pkl,5.29,16.278,10.784
2ce5a196197e2a60.pkl,3.293,6.365,4.829
adf3fcc9e92d5d84.pkl,15.244,34.707,24.976
b83f37e766488547.pkl,11.869,36.324,24.097
fc53ed92153fed10.pkl,23.032,36.159,29.595
58c0b38a9b67e55f.pkl,10.173,30.162,20.168
bb28756499b002d4.pkl,3.359,9.757,6.558
757f8546df3ac300.pkl,27.694,31.691,29.693
e28469f9375cadd0.pkl,8.598,39.553,24.076
9c7b1830e71ff5a.pkl,3.912,9.569,6.74
4f6961c554812aa1.pkl,2.538,2.071,2.304
4dedcefb06ecb280.pkl,2.415,0.359,1.387
b21b701954d9873c.pkl,19.217,45.167,32.192
989754b7d203b6ee.pkl,4.839,13.738,9.288
44065628b809b26f.pkl,8.432,50.799,29.616
739558c1ae1f2d7d.pkl,19.422,21.716,20.569
a6d90831b56d3eab.pkl,10.316,33.698,22.007
2c0ac8990a944a42.pkl,5.939,14.745,10.342
32141bfac82dbdab.pkl,16.791,27.199,21.995
11c25dc80e5f3d0c.pkl,2.645,11.285,6.965
7ac8858308f3e813.pkl,7.725,6.598,7.162
650cdad29196a20d.pkl,14.003,17.5,15.751
dbd4f09f26da09e4.pkl,2.867,19.061,10.964
a5ff2c5d8b5d95e7.pkl,1.784,9.503,5.644
c244a779774a18b4.pkl,2.401,12.21,7.305
64257fabbbeadf5e.pkl,15.187,33.22,24.204
f557852381aefdbf.pkl,3.945,10.768,7.356
cdbe911cdce2925e.pkl,15.102,37.318,26.21
110d0c0778d99296.pkl,25.378,35.886,30.632
db6440f9cf5ce9c3.pkl,7.691,24.954,16.322
78e0674a791c0b8d.pkl,14.14,34.384,24.262
4069ce13cb4037b.pkl,6.174,34.923,20.549
d57e07184126ea66.pkl,13.234,29.51,21.372
5d23aa415e7c6a6f.pkl,2.18,0.914,1.547
264ef49857cd23d4.pkl,5.951,5.032,5.492
b2f7abe1eff86582.pkl,13.823,42.433,28.128
4a7e8aa3f492bbe9.pkl,7.019,2.308,4.663
2bef4cdeea8fd1d1.pkl,3.67,14.302,8.986
6b1e8806716bf009.pkl,5.8,7.901,6.851
28766fcb69fdfb8b.pkl,10.404,8.015,9.209
11b1765e5d9b52ae.pkl,8.065,6.789,7.427
df4d9cd67429c27b.pkl,7.468,16.855,12.161
b33430266dd33457.pkl,12.059,22.526,17.293
d136be143c7747b3.pkl,9.327,18.368,13.847
9d2b6be373576646.pkl,2.769,11.106,6.937
694e2441f25e0551.pkl,11.739,63.051,37.395
427425da2ec12381.pkl,9.176,78.611,43.894
85b0898a6938f3ab.pkl,12.697,59.784,36.24
2d04bc84fce276c4.pkl,5.472,8.348,6.91
69686f9273e7f95a.pkl,4.188,3.59,3.889
7ec4297e6c80c007.pkl,7.602,13.782,10.692
77e0aea07a131f14.pkl,5.966,11.8,8.883
7acfa9b16ba15b47.pkl,4.703,4.223,4.463
a11c5d9f008f2087.pkl,19.419,26.395,22.907
de928fa591c604f0.pkl,9.838,75.817,42.828
d1c53fcab2ac5a35.pkl,7.431,9.864,8.648
87ab7d23fa412b7d.pkl,5.451,13.423,9.437
ec63f67145c6bc31.pkl,15.904,91.511,53.707
4f29ba8d1bdf80a6.pkl,3.108,12.725,7.916
f51c511861ebb818.pkl,18.012,14.287,16.15
44a22cc468bec3ae.pkl,8.192,20.253,14.223
6fa4f739c8c04c32.pkl,5.895,2.73,4.312
618c6bd62d11b5f6.pkl,20.551,28.011,24.281
19267e77f87aa581.pkl,7.084,25.591,16.337
577851e8bd22869d.pkl,4.172,15.073,9.622
9468df2a66c5ca42.pkl,13.7,27.089,20.394
ea76f1e992dcf675.pkl,11.393,31.529,21.461
e774e4b461a7d06a.pkl,21.467,23.187,22.327
8e8c8e40f5d2ea29.pkl,9.575,17.455,13.515
269d12905dc248de.pkl,10.339,26.595,18.467
2063bc2b5684b359.pkl,11.438,32.486,21.962
c26975a3a5ae44cc.pkl,10.667,17.469,14.068
6e8fbb69422d1e62.pkl,6.088,7.779,6.934
f0359ef2549c6b75.pkl,7.984,46.706,27.345
f03d36f55b5792eb.pkl,11.585,15.818,13.701
48940708d96bf04b.pkl,20.21,68.797,44.504
3c5dfb2e54740205.pkl,1.527,0.89,1.208
232b8e7eafad91cc.pkl,9.359,15.886,12.623
c5e6d9c2c020c06e.pkl,12.065,24.321,18.193
faa198b817790c41.pkl,9.313,21.96,15.637
e005373a054a2260.pkl,12.151,24.354,18.252
eb8d830979867620.pkl,7.153,17.849,12.501
375047c6f1bbb254.pkl,13.251,17.623,15.437
7e60c4852f628887.pkl,6.27,6.478,6.374
b45a62177249dd95.pkl,2.265,12.414,7.339
fa0fd8e22344dc7c.pkl,10.662,43.777,27.22
6b48c74a5af13a73.pkl,1.859,7.735,4.797
2f60a3fa9db84bf3.pkl,1.812,19.044,10.428
22a538dfdc6b80d8.pkl,4.586,7.584,6.085
a71b5c58f14d963b.pkl,9.004,45.83,27.417
207eafedc86118eb.pkl,3.248,14.098,8.673
afe586d26f9a6154.pkl,6.98,20.646,13.813
abfbdd127a71101.pkl,8.868,44.375,26.621
1ec55319de67b27d.pkl,6.469,10.595,8.532
b95cfc6928106366.pkl,13.215,22.544,17.88
bcc3f28689e35486.pkl,8.034,31.743,19.888
9549f03262297a09.pkl,5.044,5.541,5.292
f74215174a6cac3.pkl,2.122,11.707,6.914
443bee120f2b657b.pkl,11.355,41.967,26.661
cc5300ffb27733f6.pkl,2.546,9.284,5.915
8045dd37d6abdaf7.pkl,4.056,15.288,9.672
7afdfc776e4f0390.pkl,4.323,12.655,8.489
6068995ece60238f.pkl,10.869,41.442,26.156
82a2e4f2671278bf.pkl,5.45,16.324,10.887
bdb3a71ccc050053.pkl,1.989,4.143,3.066
e1d6bcd906e08252.pkl,5.503,9.224,7.364
389e790035487f7a.pkl,9.888,107.409,58.649
b26d15f02df59bd9.pkl,12.936,44.046,28.491
ff999dab88db9ec2.pkl,23.297,12.488,17.892
8fa13f13b9cfb7f9.pkl,3.914,5.599,4.757
b4bddb154fa0022.pkl,19.828,72.361,46.094
6bf2a22fab9a0313.pkl,4.001,8.291,6.146
98025e4b01682804.pkl,2.191,5.836,4.013
83bd6f1aae80f716.pkl,16.137,39.257,27.697
637ca8480ccde8fa.pkl,23.998,38.448,31.223
9aac9c9c0feb3fe6.pkl,1.404,3.987,2.695
acaab7a6bd34a048.pkl,8.799,22.939,15.869
14e55fd8d733228c.pkl,1.839,0.0,0.919
e55a8b9b376e4922.pkl,15.212,70.368,42.79
78d47ad2bcec7dcf.pkl,13.995,53.533,33.764
9cc05d756f492a2f.pkl,2.718,9.976,6.347
daacd3cbcfccd7bb.pkl,16.565,58.066,37.315
45a4c87e117377b1.pkl,3.27,39.608,21.439
5b918e2b9ffc1be3.pkl,5.003,13.102,9.052
5986efca30d38a6b.pkl,7.786,16.204,11.995
31635eaa6f321a87.pkl,10.552,33.159,21.855
125e3eb0d786532f.pkl,10.807,16.912,13.86
618519c52aec57b3.pkl,14.026,64.23,39.128
aaf547f9980912ed.pkl,3.68,1.381,2.531
960c57f68c9f1104.pkl,8.454,21.751,15.102
81f2a5fafb4e9779.pkl,13.237,37.809,25.523
5d48884cbb30a3c3.pkl,5.321,5.685,5.503
5eba8853f23240ca.pkl,6.643,1.32,3.981
6cffe1317b4fc83f.pkl,3.279,12.919,8.099
7b519b16d98304cf.pkl,2.175,3.095,2.635
e1122c0996f1eae5.pkl,12.052,59.477,35.764
95b58f664f58005c.pkl,3.359,16.443,9.901
97938e7eebf07b1e.pkl,9.881,89.111,49.496
a096b9dda2cf396.pkl,12.576,29.132,20.854
2a118345c0e7fe84.pkl,4.806,0.0,2.403
c029c2f9734e0c6a.pkl,6.218,15.812,11.015
c51e8b78d70c5846.pkl,15.63,58.452,37.041
d5ad53f06051bd88.pkl,11.683,32.749,22.216
1deaf924b596f4dd.pkl,3.118,2.755,2.936
a2b4da663022baa6.pkl,19.14,50.467,34.803
1ea043975cffe018.pkl,3.746,4.362,4.054
85606b06f5335217.pkl,9.488,46.7,28.094
9ddcb578ce8e2269.pkl,2.959,3.792,3.376
e8abc52b20f2c5a8.pkl,4.869,11.58,8.225
294f3932217b103c.pkl,7.659,11.004,9.332
deefd2ac77a25f54.pkl,7.323,22.95,15.136
9f0b658de95c83db.pkl,5.434,5.495,5.465
5f1c3dac385454bb.pkl,3.818,0.0,1.909
50d2753925322367.pkl,13.957,15.072,14.514
6a4a7dff598f50a7.pkl,2.851,5.41,4.131
7d032472bd8b7b11.pkl,2.813,4.48,3.646
1ce4d87525a551cf.pkl,1.874,1.906,1.89
86186f822798516.pkl,20.298,28.33,24.314
73b762e743dc5469.pkl,2.507,11.052,6.78
e357630170a6a390.pkl,14.378,27.253,20.815
e222446a399d6495.pkl,10.58,29.418,19.999
5367e913f6ab28eb.pkl,11.265,38.435,24.85
7e6d3aec62ca5a74.pkl,2.46,3.351,2.906
9a64ad7522c36457.pkl,4.554,6.994,5.774
4ffe8bec59ba7a13.pkl,17.776,8.1,12.938
9e30bb69df0a399c.pkl,2.578,15.805,9.191
b79b9adae185f53b.pkl,14.348,10.305,12.327
175e1b8208638767.pkl,7.677,39.854,23.765
c39f8f51cb26b2c.pkl,7.576,28.635,18.106
dec39626f45dd73c.pkl,19.058,50.206,34.632
8aa5cf7b4f865f09.pkl,2.595,4.382,3.488
627b2fe0e417321c.pkl,14.879,29.345,22.112
ca99606fecbe01ef.pkl,8.073,9.382,8.727
7c985820159b6a15.pkl,3.653,10.24,6.946
912fe673fb2f8e1c.pkl,7.069,41.428,24.249
fa56153462ed59d9.pkl,2.353,19.626,10.99
b5a6daedf03a4c68.pkl,4.206,14.622,9.414
5df2378c58f97eee.pkl,2.91,8.565,5.738
982e57d14876474.pkl,7.831,20.319,14.075
871a97576777a3d5.pkl,3.873,6.266,5.069
9322677a448bac1b.pkl,16.188,60.149,38.169
1bd6c032f63a9b1a.pkl,5.527,2.163,3.845
acf5b4b8c01b938.pkl,22.192,80.754,51.473
e2781aceb4c4c2c4.pkl,14.852,59.564,37.208
ef19fcc6297bf919.pkl,17.045,30.072,23.558
d60760a8747016aa.pkl,21.029,17.31,19.17
ddba8b53d1f6505.pkl,17.21,65.535,41.373
ce7fe6b8fd53752e.pkl,18.06,15.569,16.815
e0c1a47531c5374d.pkl,5.446,4.396,4.921
441f5b4070ae08e9.pkl,6.488,8.423,7.455
36721a7a08e8502b.pkl,9.691,8.587,9.139
20653b7edd8fe7f.pkl,20.867,54.761,37.814
ebd0c6359523e4a0.pkl,5.666,16.773,11.219
cfb71da5f199fd7f.pkl,4.715,7.363,6.039
d2cfed52b227bd52.pkl,7.024,15.553,11.289
f78e47c55dcfcb17.pkl,3.797,26.42,15.108
602c92a3f5fa4f26.pkl,23.853,34.686,29.27
780feed71e73c111.pkl,13.451,24.049,18.75
1fba0953e71e5c3a.pkl,4.34,0.918,2.629
41527ce0cd1ba6e7.pkl,11.427,5.92,8.674
9d9394b382a3c4f8.pkl,3.357,4.168,3.762
a0dd069d93d2577a.pkl,11.884,46.28,29.082
4ab403c4026e287c.pkl,3.051,2.39,2.721
7d597b8c7285183d.pkl,1.871,4.72,3.296
e3274eda0749ae35.pkl,2.282,14.279,8.28
7ae08a156587960.pkl,2.803,11.139,6.971
f0b1a6e4ed1ceceb.pkl,16.588,29.168,22.878
75c547db25dcddc5.pkl,10.915,42.08,26.497
1a7003eee502b9ce.pkl,6.266,4.65,5.458
33ec21c4de3f88e9.pkl,10.634,39.723,25.179
9bb7e7a90f0cc614.pkl,2.426,11.445,6.936
6484345407bc06.pkl,18.29,45.946,32.118
56fc7b8c021aa907.pkl,10.993,49.282,30.137
688015035d15526e.pkl,14.427,58.387,36.407
860d74447f83d1e3.pkl,2.113,5.906,4.01
df406628415cd415.pkl,6.869,21.482,14.175
a13e2facd51b215f.pkl,8.581,72.235,40.408
55061bb525b560f7.pkl,17.798,44.52,31.159
ae62be6c74cfc868.pkl,11.517,17.158,14.337
4423e6f2f0c042bc.pkl,5.752,24.587,15.169
eeb5fb3c6110e2eb.pkl,7.478,23.526,15.502
6bff303deccc88f6.pkl,2.594,10.395,6.494
cfb8974a53ae6105.pkl,5.928,19.208,12.568
30079fbbb5bc91e4.pkl,7.762,7.914,7.838
98fc8fda404e0e11.pkl,2.711,9.731,6.221
578631e8f1f214a4.pkl,18.042,11.373,14.707
a7c9e9b90578dad8.pkl,10.04,40.858,25.449
485819d610ccd5da.pkl,13.968,73.815,43.892
12a020681b13ad52.pkl,4.397,0.911,2.654
f3824f97b8ed2897.pkl,3.268,20.585,11.927
38ee50e85b557d.pkl,15.793,36.001,25.897
b774c5c21338b383.pkl,17.279,19.658,18.469
d794a48f27d0296d.pkl,10.139,29.516,19.828
5bee2ae6c1513249.pkl,3.822,3.168,3.495
cb236e1bd54f18f.pkl,6.537,23.158,14.847
8b8eb05a5eeffae9.pkl,2.21,10.945,6.577
8327230b70428264.pkl,23.531,36.299,29.915
bef9184b3cc46b15.pkl,2.405,5.524,3.964
257b2d143fc648e2.pkl,20.563,14.774,17.668
3c1c5d0548c2e229.pkl,1.838,1.002,1.42
7cdcb3e2d89a78b2.pkl,4.076,12.917,8.496
3d9afdc3e3c3f6fb.pkl,5.846,5.85,5.848
e1b5f054b09dd664.pkl,10.849,15.023,12.936
de21f1ab71d516c6.pkl,12.025,43.085,27.555
7a10d520e9b87213.pkl,6.609,5.139,5.874
838cf4898d835180.pkl,13.367,64.718,39.043
2465613cfeb26c7b.pkl,12.772,37.549,25.161
479d75a914732a60.pkl,14.515,43.101,28.808
9bee8666d806037b.pkl,6.138,5.545,5.842
356891de7be816c7.pkl,6.16,7.076,6.618
fa0907c5a6b529e7.pkl,9.1,24.074,16.587
521d176038ac5294.pkl,17.521,49.115,33.318
1fbcfda73be02d9f.pkl,6.9,13.646,10.273
c167d88c8544244e.pkl,13.0,52.557,32.778
800fbf3728362bc5.pkl,6.137,10.994,8.566
50a5ad06af8439bd.pkl,7.263,14.837,11.05
47b9320b31ab33ac.pkl,8.093,9.958,9.025
26a5f1d6e9c359ac.pkl,3.475,8.532,6.003
bcc4dc0a11884727.pkl,4.048,20.318,12.183
2b6aa8a026e538fb.pkl,3.192,7.515,5.354
e33a4d95d73a164.pkl,16.238,35.846,26.042
24413bc5d01748ce.pkl,13.541,31.924,22.733
e3b131d246245b60.pkl,7.55,42.453,25.001
9b5ca68ae6527bd.pkl,3.92,7.247,5.584
162f8e630f2999b1.pkl,12.045,29.305,20.675
71653c690fbd8052.pkl,16.276,18.09,17.183
321f5b4772d4d6ea.pkl,10.017,16.475,13.246
338cb13e3859d3a0.pkl,13.032,64.147,38.59
31b7e19bba10a698.pkl,9.851,16.064,12.957
fc362cd993005062.pkl,10.715,92.963,51.839
7c6c781d517db0b3.pkl,3.189,10.187,6.688
ba0dce637d35a536.pkl,10.789,10.699,10.744
ad18c58c7f91a2f2.pkl,13.982,52.422,33.202
b9c50da814cee096.pkl,8.935,21.099,15.017
6ba721a414cdb29c.pkl,1.51,0.004,0.757
7377e7d0b63e43e5.pkl,8.06,41.602,24.831
c80eafedd43bbe32.pkl,11.632,31.896,21.764
a8e16f9828bca0bd.pkl,4.635,4.231,4.433
b5f7ee7fe5f0cecb.pkl,13.093,17.961,15.527
1c25ba318fd565f3.pkl,1.672,5.874,3.773
fd843601c5d4d891.pkl,2.715,7.982,5.349
234e8d460dea1cc.pkl,12.695,46.374,29.534
4e6b98f62fcfd5cb.pkl,4.56,1.355,2.958
83429bd381b28fed.pkl,6.962,31.846,19.404
2e5a83ea975d1eeb.pkl,3.51,0.317,1.913
2df0aa62c3587270.pkl,3.673,6.603,5.138
a4efb612a711c1f3.pkl,18.16,45.426,31.793
f8469291e41b728d.pkl,12.633,31.448,22.04
1fac54e88dc92870.pkl,6.985,9.055,8.02
6f741fd0f1b8fb9d.pkl,2.958,11.114,7.036
a97539533b78634a.pkl,16.77,20.971,18.87
ce19b468a6ca40dc.pkl,18.933,32.215,25.574
7bef738ce615c962.pkl,1.192,1.128,1.16
128f87fe0b1d5396.pkl,5.57,36.644,21.107
c49bb6d12c9ff9ed.pkl,20.378,34.53,27.454
f30690b0ae84f5f2.pkl,7.188,18.301,12.745
1018f1306ee89f90.pkl,5.415,10.2,7.808
ac4501f6704165e1.pkl,5.346,37.223,21.285
c8c6e58d77aa007e.pkl,8.886,26.026,17.456
70865607da4c25fb.pkl,5.03,14.766,9.898
bc54dc232bb7b317.pkl,10.2,24.093,17.146
b7a7c30e7f528547.pkl,14.672,40.849,27.761
c8e8045aadeaa7b3.pkl,13.312,31.211,22.262
c342ef296b95785.pkl,8.471,33.603,21.037
491b3872ce63a710.pkl,2.613,2.247,2.43
d417448e0e01c3db.pkl,7.234,49.173,28.203
2346990449efa437.pkl,5.485,15.551,10.518
71b46bbec4b1a454.pkl,9.68,28.538,19.109
a418d3786109fe66.pkl,26.027,40.832,33.43
baa6aafa3bb55073.pkl,9.787,7.761,8.774
fc0e821c1864dbbe.pkl,12.174,38.251,25.213
39d6e8d633895b59.pkl,15.614,48.225,31.92
f934e45075d2b7a5.pkl,7.225,38.179,22.702
b7f83ebeddc9b438.pkl,9.753,32.479,21.116
381b4b6df20c70a0.pkl,8.107,28.486,18.296
7ea0f8808943eac8.pkl,11.344,7.762,9.553
337a1f1a81943ec0.pkl,12.761,56.882,34.822
679916db87241962.pkl,5.864,33.582,19.723
19c68d9fc2181fc6.pkl,1.437,10.925,6.181
7a57ea04c20c6070.pkl,1.812,10.088,5.95
a4a0534642f5d80f.pkl,29.654,56.197,42.925
4a7e3f4bac22c0d5.pkl,2.477,13.535,8.006
1783abee0cdb67c6.pkl,4.497,6.969,5.733
c728ae164a2000ff.pkl,3.146,6.969,5.058
3c7f5d4852ff8808.pkl,13.428,0.426,6.927
98e9a0991f2fb5c2.pkl,3.783,15.29,9.536
e3bedd02ff7b00b9.pkl,19.447,45.569,32.508
61a1ea58212cd8fb.pkl,9.133,30.302,19.718
6a37046e0411c55.pkl,4.227,0.119,2.173
d1fcf94fe23db1e.pkl,9.015,36.113,22.564
14b6788253f4704e.pkl,1.95,4.862,3.406
c22790755477cc00.pkl,6.188,26.152,16.17
a2543183d6c57a3.pkl,7.216,25.008,16.112
bf1136075ed90bdd.pkl,6.699,27.017,16.858
159456f6ba46b34.pkl,15.674,60.46,38.067
c16a3f6dd1791cbd.pkl,6.459,9.119,7.789
67ff59733e8796c4.pkl,2.737,11.011,6.874
a444ccee2625985e.pkl,13.156,63.94,38.548
195816974ecfbd3.pkl,5.403,13.51,9.457
69dc49c3c5ecc55a.pkl,24.079,21.196,22.637
34a45fda954889f.pkl,16.258,31.15,23.704
39de4c4e7700d5a2.pkl,12.007,28.086,20.046
f5b9edcfeb51356c.pkl,7.526,22.052,14.789
46ffb09f1fe63943.pkl,11.89,42.627,27.259
9c7e5dbfc6012c88.pkl,6.201,3.027,4.614
e1f082ec654bcf52.pkl,9.229,67.626,38.427
7ac0d9bee475aa3.pkl,2.486,2.351,2.419
a0f3c9210462a535.pkl,16.007,39.024,27.516
7c700f3ecbd5a781.pkl,3.354,9.006,6.18
120cce2a29782d7a.pkl,3.755,4.665,4.21
f70b9a216d8b6ee6.pkl,17.245,55.664,36.455
7bd01ea70d582b42.pkl,3.257,10.855,7.056
8614eb17753efab4.pkl,5.964,13.934,9.949
f807823384b23d6c.pkl,11.996,38.514,25.255
b0845a2af955f714.pkl,18.88,6.086,12.483
476f5ac167613e8f.pkl,8.014,16.066,12.04
87f447de9c7c2569.pkl,6.552,2.384,4.468
f459a40899029682.pkl,18.482,45.422,31.952
2879e191c0a5e5bc.pkl,5.794,9.279,7.537
5622aeaf7ac91710.pkl,6.897,53.643,30.27
5831343f87ce4d.pkl,13.614,87.193,50.404
b9191e2882e4156f.pkl,4.609,12.79,8.699
88ed28f21b8a397d.pkl,9.582,61.625,35.604
33c634ddc82c2d68.pkl,3.452,10.775,7.114
2dc7545987f23962.pkl,5.92,7.394,6.657
dc446fbcf95a7d5.pkl,7.05,7.422,7.236
2faf8062feafd8ac.pkl,4.136,7.773,5.955
ec5e1db4909bf369.pkl,18.758,38.143,28.451
e3ac8d7fd8067260.pkl,3.45,19.302,11.376
7556bc1a3cbab158.pkl,7.4,8.706,8.053
55fe4ca5805d1116.pkl,17.776,31.53,24.653
46460f75c17c6cea.pkl,3.121,15.798,9.459
16ea10f7d27c96d9.pkl,5.388,7.704,6.546
49676eb46543c796.pkl,10.714,49.537,30.126
9fee7172effdcf2.pkl,5.145,9.331,7.238
cf1c390b142d0201.pkl,7.946,29.474,18.71
2270e1e4f24611c8.pkl,17.087,58.994,38.04
3036e1a9abf5d339.pkl,12.248,26.858,19.553
c0aa4f30bc2906a0.pkl,7.266,15.948,11.607
e8e1940ecc38b5a5.pkl,4.839,6.812,5.825
e0c0c3506d6597be.pkl,5.285,19.668,12.477
533039c395fb4220.pkl,8.903,16.705,12.804
aedf840d3eecdf46.pkl,11.228,4.423,7.826
7342f9795af8a2a8.pkl,10.492,17.082,13.787
a38e47ae62e14218.pkl,18.254,43.633,30.944
2d5d6eb39a6607fe.pkl,7.678,14.856,11.267
7019576d18e1eb05.pkl,2.806,6.305,4.556
c1e5965d0752e671.pkl,16.415,12.032,14.223
df89617471024d9.pkl,9.105,57.168,33.137
25c00dadc9e09576.pkl,2.793,10.249,6.521
e2d1e7d211bb551f.pkl,7.408,4.6,6.004
f24c5abbdd80ce54.pkl,17.966,20.119,19.042
de3d8c17cf2aa494.pkl,9.52,59.166,34.343
388186fa78fd7f4a.pkl,13.372,67.865,40.619
3c74d1ea0cae80ee.pkl,4.406,9.759,7.082
22c7e531a0e95f3d.pkl,1.67,10.105,5.888
5f20354ce52fc30b.pkl,2.245,7.897,5.071
359658eb4a785355.pkl,6.857,19.133,12.995
d07414f158a1e277.pkl,21.09,52.75,36.92
f00df86eae437ec5.pkl,12.191,33.949,23.07
